theta (rad),r (-),radial mach,tangential mach,mach number,x,y
0.807782,0.978356,0.977358,-1.022733,1.414642,0.676145,0.707113
0.808077,0.978081,0.977057,-1.023025,1.414645,0.675747,0.707113
0.808371,0.977806,0.976756,-1.023316,1.414647,0.675349,0.707113
0.808666,0.977531,0.976454,-1.023607,1.414650,0.674951,0.707113
0.808960,0.977257,0.976153,-1.023898,1.414653,0.674553,0.707114
0.809255,0.976983,0.975851,-1.024190,1.414655,0.674155,0.707114
0.809549,0.976709,0.975549,-1.024481,1.414658,0.673758,0.707114
0.809844,0.976435,0.975248,-1.024771,1.414661,0.673361,0.707114
0.810138,0.976161,0.974946,-1.025062,1.414663,0.672964,0.707114
0.810433,0.975888,0.974644,-1.025353,1.414666,0.672567,0.707114
0.810727,0.975615,0.974342,-1.025643,1.414668,0.672171,0.707114
0.811022,0.975342,0.974040,-1.025934,1.414671,0.671775,0.707114
0.811316,0.975069,0.973738,-1.026224,1.414673,0.671379,0.707115
0.811611,0.974797,0.973435,-1.026514,1.414676,0.670983,0.707115
0.811905,0.974525,0.973133,-1.026804,1.414678,0.670587,0.707115
0.812200,0.974253,0.972830,-1.027094,1.414681,0.670192,0.707115
0.812494,0.973981,0.972528,-1.027384,1.414683,0.669797,0.707115
0.812789,0.973710,0.972225,-1.027674,1.414686,0.669402,0.707115
0.813083,0.973439,0.971923,-1.027963,1.414688,0.669007,0.707115
0.813378,0.973168,0.971620,-1.028253,1.414690,0.668613,0.707115
0.813672,0.972897,0.971317,-1.028542,1.414693,0.668219,0.707116
0.813967,0.972626,0.971014,-1.028832,1.414695,0.667825,0.707116
0.814262,0.972356,0.970711,-1.029121,1.414698,0.667431,0.707116
0.814556,0.972086,0.970408,-1.029410,1.414700,0.667037,0.707116
0.814851,0.971816,0.970104,-1.029699,1.414702,0.666644,0.707116
0.815145,0.971547,0.969801,-1.029988,1.414705,0.666251,0.707116
0.815440,0.971278,0.969498,-1.030277,1.414707,0.665858,0.707116
0.815734,0.971008,0.969194,-1.030565,1.414709,0.665465,0.707116
0.816029,0.970740,0.968891,-1.030854,1.414712,0.665073,0.707117
0.816323,0.970471,0.968587,-1.031142,1.414714,0.664680,0.707117
0.816618,0.970203,0.968283,-1.031431,1.414716,0.664288,0.707117
0.816912,0.969935,0.967979,-1.031719,1.414718,0.663896,0.707117
0.817207,0.969667,0.967676,-1.032007,1.414721,0.663505,0.707117
0.817501,0.969399,0.967372,-1.032295,1.414723,0.663113,0.707117
0.817796,0.969132,0.967067,-1.032583,1.414725,0.662722,0.707117
0.818090,0.968864,0.966763,-1.032871,1.414727,0.662331,0.707118
0.818385,0.968597,0.966459,-1.033159,1.414730,0.661941,0.707118
0.818679,0.968331,0.966155,-1.033446,1.414732,0.661550,0.707118
0.818974,0.968064,0.965850,-1.033734,1.414734,0.661160,0.707118
0.819268,0.967798,0.965546,-1.034021,1.414736,0.660770,0.707118
0.819563,0.967532,0.965241,-1.034309,1.414738,0.660380,0.707118
0.819858,0.967266,0.964937,-1.034596,1.414741,0.659990,0.707118
0.820152,0.967000,0.964632,-1.034883,1.414743,0.659601,0.707119
0.820447,0.966735,0.964327,-1.035170,1.414745,0.659211,0.707119
0.820741,0.966470,0.964022,-1.035457,1.414747,0.658822,0.707119
0.821036,0.966205,0.963717,-1.035743,1.414749,0.658434,0.707119
0.821330,0.965940,0.963412,-1.036030,1.414751,0.658045,0.707119
0.821625,0.965676,0.963107,-1.036317,1.414753,0.657657,0.707119
0.821919,0.965412,0.962801,-1.036603,1.414755,0.657268,0.707119
0.822214,0.965148,0.962496,-1.036890,1.414758,0.656880,0.707120
0.822508,0.964884,0.962191,-1.037176,1.414760,0.656493,0.707120
0.822803,0.964620,0.961885,-1.037462,1.414762,0.656105,0.707120
0.823097,0.964357,0.961580,-1.037748,1.414764,0.655718,0.707120
0.823392,0.964094,0.961274,-1.038034,1.414766,0.655331,0.707120
0.823686,0.963831,0.960968,-1.038320,1.414768,0.654944,0.707120
0.823981,0.963569,0.960662,-1.038606,1.414770,0.654557,0.707120
0.824275,0.963306,0.960356,-1.038891,1.414772,0.654171,0.707121
0.824570,0.963044,0.960050,-1.039177,1.414774,0.653784,0.707121
0.824864,0.962782,0.959744,-1.039462,1.414776,0.653398,0.707121
0.825159,0.962520,0.959438,-1.039748,1.414778,0.653013,0.707121
0.825453,0.962259,0.959132,-1.040033,1.414780,0.652627,0.707121
0.825748,0.961998,0.958825,-1.040318,1.414782,0.652242,0.707121
0.826043,0.961737,0.958519,-1.040603,1.414784,0.651856,0.707122
0.826337,0.961476,0.958212,-1.040888,1.414786,0.651471,0.707122
0.826632,0.961215,0.957906,-1.041173,1.414788,0.651087,0.707122
0.826926,0.960955,0.957599,-1.041458,1.414790,0.650702,0.707122
0.827221,0.960695,0.957292,-1.041742,1.414792,0.650318,0.707122
0.827515,0.960435,0.956985,-1.042027,1.414794,0.649933,0.707122
0.827810,0.960175,0.956679,-1.042311,1.414796,0.649549,0.707122
0.828104,0.959916,0.956372,-1.042596,1.414798,0.649166,0.707123
0.828399,0.959657,0.956064,-1.042880,1.414799,0.648782,0.707123
0.828693,0.959398,0.955757,-1.043164,1.414801,0.648399,0.707123
0.828988,0.959139,0.955450,-1.043448,1.414803,0.648016,0.707123
0.829282,0.958880,0.955143,-1.043732,1.414805,0.647633,0.707123
0.829577,0.958622,0.954835,-1.044016,1.414807,0.647250,0.707123
0.829871,0.958364,0.954528,-1.044299,1.414809,0.646868,0.707124
0.830166,0.958106,0.954220,-1.044583,1.414811,0.646485,0.707124
0.830460,0.957848,0.953912,-1.044867,1.414813,0.646103,0.707124
0.830755,0.957591,0.953605,-1.045150,1.414815,0.645721,0.707124
0.831049,0.957334,0.953297,-1.045433,1.414816,0.645340,0.707124
